path	sha256	acquired_on	provenance
data/raw/provided/09800職業潛水丙級試題.pdf	91360444E2FE99E9FD10E810F9071F59CC6FE6746D78275D5C894F5E7DD32AA0	2026-09-18	user-provided
data/raw/provided/110年職業潛水丙級試題頁.jpg	BE6B98F4CABD118F82A203049338239A32625A72F815E0DE2F7362937C3E3EF4	2026-09-18	user-provided
data/raw/provided/113年職業潛水丙級試題頁.jpg	23C16FCACCB3494B5730D6F146449B258FAA7F541D566E40E18AC5303A561E66	2026-09-18	user-provided
data/raw/provided/危險海域劃設原則研究報告.pdf	AA434A3C06B6599E3B19FE61CF42558BEB2E5A1CFFF34D599D9E4A86AC289C30	2026-09-18	user-provided
data/raw/provided/研究規劃原始文件.docx	2ACF0A7BC91A4949AE7CDD4D02C47751ED12BCEED308A48DADB98F257ABDFC5A	2026-09-18	user-provided
data/raw/provided/蒲福風級與風速浪高對照.jpg	3F7809ABC62F3E6C08F63E2F3CC1BC56189016495A47D965735F406326647722	2026-09-18	user-provided
data/raw/provided/墾丁浪高管制標準.pdf	529BFC791FC4C7C6F38468590860FE2A60734690E55ED6E78D6BAD72CD961113	2026-09-18	user-provided
data/raw/provided/visual_notes.md	3E6171B54F984FFB25E56F7EED6689FF47411AFD363CFB34DB050BC391E6A5DD	2026-09-18	derived-from-user-provided-images
data/raw/external/cmas_global_training_catalog.html	BDFBAE0DDA86150C71C54BE89ACE0F584F874DD71D72B36CE8853B74FCC127E1	2026-09-18	web-download
data/raw/external/cmas_tw_diving_safety_rules.html	2C3E705DC25522E11B228CEE805219B60D8A3F7BEBF1BDF95307F7FBE88EA980	2026-09-18	web-download
data/raw/external/cmas_tw_snorkeling_essentials.html	FA277980C438F985FCC1688117E13B22774677C473FFEE21D70039EE347A9008	2026-09-18	web-download
data/raw/external/cmas_tw_training_requirements.html	5EA3E5354B42254F55E4BCFCDB64AA3B8C63A1C92279D618CDB832F0E74E930C	2026-09-18	web-download
data/raw/external/iai_connection_tutorial.txt	298546461C5803B7E54A4C9025AD4FC15B46315F104C397BAB99A4C36CEC4A07	2026-09-18	public-document-export
data/raw/external/mpa_diver_certification_reference.pdf	E0B369832CE9AFE04E51CEDAB728F7FB12B95384AF9AB008804FEF8FEAA4EB4D	2026-09-18	web-download
data/raw/provided/CMAS教練手冊2023中文版.pdf	EC68CA2A61E9101F03BA1C76678FD56585EDE7D4A60B59D97A0ED2131A3BECCF	2026-09-18	user-provided
data/raw/provided/海保署證照等級參考原始下載.pdf	E0B369832CE9AFE04E51CEDAB728F7FB12B95384AF9AB008804FEF8FEAA4EB4D	2026-09-18	user-provided-duplicate-of-public-download
data/raw/external/mpa/taiwan_mpa_boundaries_wgs84.geojson	71A143616DDF9FBB469872D320011E99CC258A576542A03008F7B233BA8E4B88	2026-09-18	official-wfs-download
data/raw/external/mpa/mpa_legal_framework.html	A0FB5CA52DA55E092C516AF0DEA786764F01DE683C77ADAF70E2D00BD25AC0C6	2026-09-18	official-webpage-snapshot
data/raw/external/edna/edna_diving_110_113.csv	747B1FCA9F87E152F896E6CF29F868719902E12EAE8BE19F89C0CE0B823E777B	2026-09-18	official-open-data-download
data/raw/external/edna/edna_diving_110_113.json	10FF14D906E9F45E07C9F66A0BEE3F4581F426153C947E0462F625C3DFC751BA	2026-09-18	official-open-data-download-duplicate-format
data/raw/external/edna/edna_ship_110_112.csv	B5B3663544BB931C79E4379C2577CCA87DEF064B339C54A88E3D4724CAD59426	2026-09-18	official-open-data-download
data/raw/external/edna/edna_protected_area_110_113.json	99398600558A36A104253D15D9208BC1BCD81295066399EF69E8F2748BB544CA	2026-09-18	official-open-data-download
data/raw/external/reference/reefcheck_taiwan_dwca.zip	BB383B475C76954047A93F3C28B66B87A6FC3FD689B802B1917AE4B0C8122795	2026-09-18	TaiBIF-download-CC-BY-NC-4.0
data/raw/external/reference/reefcheck_taiwan_metadata.xml	AA701E478210E0D88351106EA24F9840FB264F78A47DA3CD660EE9C505AA1BCA	2026-09-18	TaiBIF-download-CC-BY-NC-4.0
data/raw/external/reference/south_sea_biodiversity_survey_report.pdf	CCB9E9452D1629CF0B518821E37DA4C9BAF6B01285E8E69B21D5944E22580EA7	2026-09-18	official-public-download
data/raw/external/kenting_current_prohibitions.html	A91C6E364B8D059CA88EA7FDF1DB54BED4EAEE22EDE2925A194925490C70F7B6	2026-09-18	official-webpage-snapshot
data/raw/external/kenting_current_water_recreation_plan.html	27E5D363C2C1BC1FBFF0C1548D6DE8B6CE967C1766FC036CA1EC969E21B671AA	2026-09-18	official-webpage-snapshot
data/raw/external/kenting_houbihu_freediving_prohibition.html	E36B05F78821ED7604A7B27B7B9FDFDF6CEA52190573C15D2F9580E635B55E3E	2026-09-18	official-webpage-snapshot
data/raw/external/cwa/F-A0021-001_20260918T085121Z.json	99E53F0324001E28F73226CCD7C6B9E1F8D1860E4F2950AF6C99C069870117C3	2026-09-18	official-authenticated-download
data/raw/external/cwa/F-A0021-001_20260918T085121Z.provenance.json	90BC123A9D01E580736729EB919B540616F257E7DAD0AE22E0A052ED42A3109C	2026-09-18	derived-provenance-without-authorization-code
data/raw/external/cwa/M-B0078-001_20260918T171538+0800.json	4845B923357AC8F20DCF10F5B65BA0C95805A7DB3F80F12370AEBFEF35E3CB12	2026-09-18	user-provided-official-download
