candidate_id,candidate_name,latitude,longitude,raw_data_type,source_name,source_manifest_id,source_manifest_path,raw_record_locator,source_lookup_json,observed_date_start,observed_date_end,direct_site_evidence,recommended_data_quality,review_reason,review_questions,public_presentation_restrictions
edna-f95bd2e91ce72300,Batcave,25.1277,121.83139,eDNA sampled-station group,臺灣周邊海域環境 DNA 採樣調查資料,oca_edna,data/raw/external/edna/edna_diving_110_113.csv,edna_occurrence; source_file=edna_diving_110_113.csv; station=Batcave; latitude=25.1277; longitude=121.83139; source_rows=61-116; records=56,"{""latitude"": 25.1277, ""longitude"": 121.83139, ""source_file"": ""edna_diving_110_113.csv"", ""station"": ""Batcave""}",2021-07-16,2021-07-16,no,needs_review,來源定義的是 eDNA 採樣站與歷史檢出資料，沒有將該站名稱或座標定義為潛點。,另找可公開查核且明確將同一名稱與座標定義為潛點的來源；核對名稱、位置與再利用條件。,OGL 1.0：保留來源標示；僅可表述為歷史 eDNA 採樣證據，非潛點或當日物種存在。
edna-43be9c4210887626,DRM1,22.68183,121.49766,eDNA sampled-station group,臺灣周邊海域環境 DNA 採樣調查資料,oca_edna,data/raw/external/edna/edna_diving_110_113.csv,edna_occurrence; source_file=edna_diving_110_113.csv; station=DRM1; latitude=22.68183; longitude=121.49766; source_rows=1-35; records=35,"{""latitude"": 22.68183, ""longitude"": 121.49766, ""source_file"": ""edna_diving_110_113.csv"", ""station"": ""DRM1""}",2023-07-14,2023-07-14,no,needs_review,來源定義的是 eDNA 採樣站與歷史檢出資料，沒有將該站名稱或座標定義為潛點。,另找可公開查核且明確將同一名稱與座標定義為潛點的來源；核對名稱、位置與再利用條件。,OGL 1.0：保留來源標示；僅可表述為歷史 eDNA 採樣證據，非潛點或當日物種存在。
edna-e0908e0253372171,DRM2,22.63748,121.4887,eDNA sampled-station group,臺灣周邊海域環境 DNA 採樣調查資料,oca_edna,data/raw/external/edna/edna_diving_110_113.csv,edna_occurrence; source_file=edna_diving_110_113.csv; station=DRM2; latitude=22.63748; longitude=121.4887; source_rows=36-49; records=14,"{""latitude"": 22.63748, ""longitude"": 121.4887, ""source_file"": ""edna_diving_110_113.csv"", ""station"": ""DRM2""}",2023-07-10,2023-07-10,no,needs_review,來源定義的是 eDNA 採樣站與歷史檢出資料，沒有將該站名稱或座標定義為潛點。,另找可公開查核且明確將同一名稱與座標定義為潛點的來源；核對名稱、位置與再利用條件。,OGL 1.0：保留來源標示；僅可表述為歷史 eDNA 採樣證據，非潛點或當日物種存在。
edna-cfbd4c59fd40cb98,Hepingdao,25.16083,121.77154,eDNA sampled-station group,臺灣周邊海域環境 DNA 採樣調查資料,oca_edna,data/raw/external/edna/edna_diving_110_113.csv,edna_occurrence; source_file=edna_diving_110_113.csv; station=Hepingdao; latitude=25.16083; longitude=121.77154; source_rows=117-200; records=84,"{""latitude"": 25.16083, ""longitude"": 121.77154, ""source_file"": ""edna_diving_110_113.csv"", ""station"": ""Hepingdao""}",2021-07-27,2021-07-27,no,needs_review,來源定義的是 eDNA 採樣站與歷史檢出資料，沒有將該站名稱或座標定義為潛點。,另找可公開查核且明確將同一名稱與座標定義為潛點的來源；核對名稱、位置與再利用條件。,OGL 1.0：保留來源標示；僅可表述為歷史 eDNA 採樣證據，非潛點或當日物種存在。
edna-cbaf1a6a4f9db051,Loverscave,22.065633,121.570883,eDNA sampled-station group,臺灣周邊海域環境 DNA 採樣調查資料,oca_edna,data/raw/external/edna/edna_diving_110_113.csv,edna_occurrence; source_file=edna_diving_110_113.csv; station=Loverscave; latitude=22.065633; longitude=121.570883; source_rows=50-60; records=11,"{""latitude"": 22.065633, ""longitude"": 121.570883, ""source_file"": ""edna_diving_110_113.csv"", ""station"": ""Loverscave""}",2022-07-15,2022-07-15,no,needs_review,來源定義的是 eDNA 採樣站與歷史檢出資料，沒有將該站名稱或座標定義為潛點。,另找可公開查核且明確將同一名稱與座標定義為潛點的來源；核對名稱、位置與再利用條件。,OGL 1.0：保留來源標示；僅可表述為歷史 eDNA 採樣證據，非潛點或當日物種存在。
edna-0c32b30590b245d8,TRM1,25.62307,122.0725,eDNA sampled-station group,臺灣周邊海域環境 DNA 採樣調查資料,oca_edna,data/raw/external/edna/edna_diving_110_113.csv,edna_occurrence; source_file=edna_diving_110_113.csv; station=TRM1; latitude=25.62307; longitude=122.0725; source_rows=438-547; records=110,"{""latitude"": 25.62307, ""longitude"": 122.0725, ""source_file"": ""edna_diving_110_113.csv"", ""station"": ""TRM1""}",2021-08-16,2021-08-16,no,needs_review,來源定義的是 eDNA 採樣站與歷史檢出資料，沒有將該站名稱或座標定義為潛點。,另找可公開查核且明確將同一名稱與座標定義為潛點的來源；核對名稱、位置與再利用條件。,OGL 1.0：保留來源標示；僅可表述為歷史 eDNA 採樣證據，非潛點或當日物種存在。
edna-defc353ea02bd299,TRM10,25.12184,121.90139,eDNA sampled-station group,臺灣周邊海域環境 DNA 採樣調查資料,oca_edna,data/raw/external/edna/edna_diving_110_113.csv,edna_occurrence; source_file=edna_diving_110_113.csv; station=TRM10; latitude=25.12184; longitude=121.90139; source_rows=548-606; records=59,"{""latitude"": 25.12184, ""longitude"": 121.90139, ""source_file"": ""edna_diving_110_113.csv"", ""station"": ""TRM10""}",2021-07-01,2021-07-01,no,needs_review,來源定義的是 eDNA 採樣站與歷史檢出資料，沒有將該站名稱或座標定義為潛點。,另找可公開查核且明確將同一名稱與座標定義為潛點的來源；核對名稱、位置與再利用條件。,OGL 1.0：保留來源標示；僅可表述為歷史 eDNA 採樣證據，非潛點或當日物種存在。
edna-d5d2f8f08cee4ee1,TRM11,25.11339,121.91932,eDNA sampled-station group,臺灣周邊海域環境 DNA 採樣調查資料,oca_edna,data/raw/external/edna/edna_diving_110_113.csv,edna_occurrence; source_file=edna_diving_110_113.csv; station=TRM11; latitude=25.11339; longitude=121.91932; source_rows=607-667; records=61,"{""latitude"": 25.11339, ""longitude"": 121.91932, ""source_file"": ""edna_diving_110_113.csv"", ""station"": ""TRM11""}",2021-06-28,2021-06-28,no,needs_review,來源定義的是 eDNA 採樣站與歷史檢出資料，沒有將該站名稱或座標定義為潛點。,另找可公開查核且明確將同一名稱與座標定義為潛點的來源；核對名稱、位置與再利用條件。,OGL 1.0：保留來源標示；僅可表述為歷史 eDNA 採樣證據，非潛點或當日物種存在。
edna-cf614799c0e860e7,TRM12,25.07013,121.92502,eDNA sampled-station group,臺灣周邊海域環境 DNA 採樣調查資料,oca_edna,data/raw/external/edna/edna_diving_110_113.csv,edna_occurrence; source_file=edna_diving_110_113.csv; station=TRM12; latitude=25.07013; longitude=121.92502; source_rows=668-714; records=47,"{""latitude"": 25.07013, ""longitude"": 121.92502, ""source_file"": ""edna_diving_110_113.csv"", ""station"": ""TRM12""}",2021-06-09,2021-06-09,no,needs_review,來源定義的是 eDNA 採樣站與歷史檢出資料，沒有將該站名稱或座標定義為潛點。,另找可公開查核且明確將同一名稱與座標定義為潛點的來源；核對名稱、位置與再利用條件。,OGL 1.0：保留來源標示；僅可表述為歷史 eDNA 採樣證據，非潛點或當日物種存在。
edna-826da76b28c874a2,TRM13,25.02316,121.96227,eDNA sampled-station group,臺灣周邊海域環境 DNA 採樣調查資料,oca_edna,data/raw/external/edna/edna_diving_110_113.csv,edna_occurrence; source_file=edna_diving_110_113.csv; station=TRM13; latitude=25.02316; longitude=121.96227; source_rows=715-766; records=52,"{""latitude"": 25.02316, ""longitude"": 121.96227, ""source_file"": ""edna_diving_110_113.csv"", ""station"": ""TRM13""}",2021-07-13,2021-07-13,no,needs_review,來源定義的是 eDNA 採樣站與歷史檢出資料，沒有將該站名稱或座標定義為潛點。,另找可公開查核且明確將同一名稱與座標定義為潛點的來源；核對名稱、位置與再利用條件。,OGL 1.0：保留來源標示；僅可表述為歷史 eDNA 採樣證據，非潛點或當日物種存在。
edna-9fa3da8d02f32752,TRM14,25.02032,121.99892,eDNA sampled-station group,臺灣周邊海域環境 DNA 採樣調查資料,oca_edna,data/raw/external/edna/edna_diving_110_113.csv,edna_occurrence; source_file=edna_diving_110_113.csv; station=TRM14; latitude=25.02032; longitude=121.99892; source_rows=767-859; records=93,"{""latitude"": 25.02032, ""longitude"": 121.99892, ""source_file"": ""edna_diving_110_113.csv"", ""station"": ""TRM14""}",2021-07-30,2021-07-30,no,needs_review,來源定義的是 eDNA 採樣站與歷史檢出資料，沒有將該站名稱或座標定義為潛點。,另找可公開查核且明確將同一名稱與座標定義為潛點的來源；核對名稱、位置與再利用條件。,OGL 1.0：保留來源標示；僅可表述為歷史 eDNA 採樣證據，非潛點或當日物種存在。
edna-e04262cbe10cc987,TRM15,25.01781,121.99045,eDNA sampled-station group,臺灣周邊海域環境 DNA 採樣調查資料,oca_edna,data/raw/external/edna/edna_diving_110_113.csv,edna_occurrence; source_file=edna_diving_110_113.csv; station=TRM15; latitude=25.01781; longitude=121.99045; source_rows=860-938; records=79,"{""latitude"": 25.01781, ""longitude"": 121.99045, ""source_file"": ""edna_diving_110_113.csv"", ""station"": ""TRM15""}",2021-07-30,2021-07-30,no,needs_review,來源定義的是 eDNA 採樣站與歷史檢出資料，沒有將該站名稱或座標定義為潛點。,另找可公開查核且明確將同一名稱與座標定義為潛點的來源；核對名稱、位置與再利用條件。,OGL 1.0：保留來源標示；僅可表述為歷史 eDNA 採樣證據，非潛點或當日物種存在。
edna-b0bca7aa5789bbfa,TRM16,24.979,121.953,eDNA sampled-station group,臺灣周邊海域環境 DNA 採樣調查資料,oca_edna,data/raw/external/edna/edna_diving_110_113.csv,edna_occurrence; source_file=edna_diving_110_113.csv; station=TRM16; latitude=24.979; longitude=121.953; source_rows=939-997; records=59,"{""latitude"": 24.979, ""longitude"": 121.953, ""source_file"": ""edna_diving_110_113.csv"", ""station"": ""TRM16""}",2023-08-11,2023-08-11,no,needs_review,來源定義的是 eDNA 採樣站與歷史檢出資料，沒有將該站名稱或座標定義為潛點。,另找可公開查核且明確將同一名稱與座標定義為潛點的來源；核對名稱、位置與再利用條件。,OGL 1.0：保留來源標示；僅可表述為歷史 eDNA 採樣證據，非潛點或當日物種存在。
edna-0ba1a24f4a584154,TRM17,24.84216,121.93751,eDNA sampled-station group,臺灣周邊海域環境 DNA 採樣調查資料,oca_edna,data/raw/external/edna/edna_diving_110_113.csv,edna_occurrence; source_file=edna_diving_110_113.csv; station=TRM17; latitude=24.84216; longitude=121.93751; source_rows=998-1107; records=110,"{""latitude"": 24.84216, ""longitude"": 121.93751, ""source_file"": ""edna_diving_110_113.csv"", ""station"": ""TRM17""}",2021-09-23,2021-09-23,no,needs_review,來源定義的是 eDNA 採樣站與歷史檢出資料，沒有將該站名稱或座標定義為潛點。,另找可公開查核且明確將同一名稱與座標定義為潛點的來源；核對名稱、位置與再利用條件。,OGL 1.0：保留來源標示；僅可表述為歷史 eDNA 採樣證據，非潛點或當日物種存在。
edna-19d971e49888b528,TRM17bis,24.84581,121.94379,eDNA sampled-station group,臺灣周邊海域環境 DNA 採樣調查資料,oca_edna,data/raw/external/edna/edna_diving_110_113.csv,edna_occurrence; source_file=edna_diving_110_113.csv; station=TRM17bis; latitude=24.84581; longitude=121.94379; source_rows=1108-1202; records=95,"{""latitude"": 24.84581, ""longitude"": 121.94379, ""source_file"": ""edna_diving_110_113.csv"", ""station"": ""TRM17bis""}",2021-09-23,2021-09-23,no,needs_review,來源定義的是 eDNA 採樣站與歷史檢出資料，沒有將該站名稱或座標定義為潛點。,另找可公開查核且明確將同一名稱與座標定義為潛點的來源；核對名稱、位置與再利用條件。,OGL 1.0：保留來源標示；僅可表述為歷史 eDNA 採樣證據，非潛點或當日物種存在。
